MatrixID	Name	Class	Family	Type	UniprotID	SpeciesName	BaseID	TaxGroup	Cluster	ClusterColor	ClusterDesc
MA0569.2	MYC4	Basic helix-loop-helix factors (bHLH)	bHLH	PBM	O49687	Arabidopsis thaliana	MA0569	plants	cluster_07	255,228,196	BHLH_CAMTA
MA0570.3	ABF1	Basic leucine zipper factors (bZIP)	Group A	ChIP-seq	Q9M7Q5	Arabidopsis thaliana	MA0570	plants	cluster_07	255,228,196	BHLH_CAMTA
MA0571.2	ANT	AP2/EREBP	AP2	SELEX	Q38914	Arabidopsis thaliana	MA0571	plants	cluster_31	255,140,0	AIL_ANT_PLT1
MA0573.2	ATHB-9	Homeo domain factors	HD-ZIP	SELEX	O04292	Arabidopsis thaliana	MA0573	plants	cluster_09	255,235,205	HDZIP_PLINC_AHL
MA0574.1	MYB15	Tryptophan cluster factors	Myb	SELEX	Q9LTC4	Arabidopsis thaliana	MA0574	plants	cluster_02	250,235,215	MYB_TRB
MA0575.2	MYB77	Tryptophan cluster factors	MYB	SELEX	Q9SN12	Arabidopsis thaliana	MA0575	plants	cluster_11	138,43,226	MYB
MA0576.2	RAX3	Tryptophan cluster factors	MYB	SELEX	Q9M2Y9	Arabidopsis thaliana	MA0576	plants	cluster_02	250,235,215	MYB_TRB
MA0577.4	SPL3	C3H(C),C2HC zinc fingers factors	SBP	SELEX	P93015	Arabidopsis thaliana	MA0577	plants	cluster_28	189,183,107	SPL_A
MA0578.1	SPL8	C3H(C),C2HC zinc fingers factors	SBP	SELEX	Q8GXL3	Arabidopsis thaliana	MA0578	plants	cluster_40	148,0,211	SPL8
MA0579.2	CDC5	Tryptophan cluster factors	MYB-related	SELEX	P92948	Arabidopsis thaliana	MA0579	plants	cluster_41	255,20,147	CDC5
MA0580.1	DYT1	Basic helix-loop-helix factors (bHLH)	bHLH	SELEX	O81900	Arabidopsis thaliana	MA0580	plants	cluster_07	255,228,196	BHLH_CAMTA
MA0581.2	LEC2	B3	LAV	SELEX	Q1PFR7	Arabidopsis thaliana	MA0581	plants	cluster_29	139,0,139	ABI
MA0582.2	RAV1	B3	RAV	SELEX	Q9ZWM9	Arabidopsis thaliana	MA0582	plants	cluster_17	255,127,80	ARF_RAV
MA0584.2	SEP1	MADS box factors	Type II		P29382	Arabidopsis thaliana	MA0584	plants	cluster_23	0,139,139	MIKC
MA0585.2	AGL1	MADS box factors	Type II		P29381	Arabidopsis thaliana	MA0585	plants	cluster_23	0,139,139	MIKC
MA0586.3	SPL14	C3H(C),C2HC zinc fingers factors	SBP	DAP-seq	Q8RY95	Arabidopsis thaliana	MA0586	plants	cluster_28	189,183,107	SPL_A
MA0587.2	TCP16	TCP		SELEX	Q9M1U4	Arabidopsis thaliana	MA0587	plants	cluster_01	240,248,255	ARF_TCP
MA0588.2	TGA1	Basic leucine zipper factors (bZIP)	Group D	SELEX	Q39237	Arabidopsis thaliana	MA0588	plants	cluster_14	95,158,160	BZIP_TGA
MA0589.2	WRKY1	GCM domain factors	WRKY	SELEX	Q9SI37	Arabidopsis thaliana	MA0589	plants	cluster_10	0,0,255	WRKY
MA0590.1	LFY	LEAFY		SELEX-seq	Q00958	Arabidopsis thaliana	MA0590	plants	cluster_42	0,191,255	LFY
MA0930.3	ABF3	Basic leucine zipper factors (bZIP)	Group A		Q9M7Q3	Arabidopsis thaliana	MA0930	plants	cluster_07	255,228,196	BHLH_CAMTA
MA0931.2	ABI5	Basic leucine zipper factors (bZIP)	Group A	PBM	Q9SJN0	Arabidopsis thaliana	MA0931	plants	cluster_07	255,228,196	BHLH_CAMTA
MA0932.1	AHL12	A.T hook factors	AHL	PBM	Q8LPN5	Arabidopsis thaliana	MA0932	plants	cluster_09	255,235,205	HDZIP_PLINC_AHL
MA0933.1	AHL20	A.T hook factors	AHL	PBM	Q8GWQ2	Arabidopsis thaliana	MA0933	plants	cluster_09	255,235,205	HDZIP_PLINC_AHL
MA0934.1	AHL25	A.T hook factors	AHL	PBM	Q6DBQ1	Arabidopsis thaliana	MA0934	plants	cluster_09	255,235,205	HDZIP_PLINC_AHL
MA0935.1	NAC025	GCM domain factors	NAC	PBM	Q8GY42	Arabidopsis thaliana	MA0935	plants	cluster_20	220,20,60	NAC_B
MA0936.1	NAC046	GCM domain factors	NAC	PBM	Q9SQQ6	Arabidopsis thaliana	MA0936	plants	cluster_20	220,20,60	NAC_B
MA0937.1	NAC055	GCM domain factors	NAC	PBM	Q9LDY8	Arabidopsis thaliana	MA0937	plants	cluster_20	220,20,60	NAC_B
MA0938.3	NAC058	GCM domain factors	NAC		Q9LS50	Arabidopsis thaliana	MA0938	plants	cluster_16	210,105,30	NAC_A
MA0939.1	NAC079	GCM domain factors	NAC	PBM	Q9FLR3	Arabidopsis thaliana	MA0939	plants	cluster_20	220,20,60	NAC_B
MA0940.1	AP1	MADS box factors	MIKC	ChIP-seq	P35631	Arabidopsis thaliana	MA0940	plants	cluster_23	0,139,139	MIKC
MA0941.2	ABF2	Basic leucine zipper factors (bZIP)	Group A	PBM	Q9M7Q4	Arabidopsis thaliana	MA0941	plants	cluster_07	255,228,196	BHLH_CAMTA
MA0942.2	ARF1	B3	ARF	PBM	Q8L7G0	Arabidopsis thaliana	MA0942	plants	cluster_15	127,255,0	ERF_DREB_A
MA0943.2	ARF5	B3	ARF	PBM	P93024	Arabidopsis thaliana	MA0943	plants	cluster_15	127,255,0	ERF_DREB_A
MA0944.2	ARF8	B3	ARF	PBM	Q9FGV1	Arabidopsis thaliana	MA0944	plants	cluster_17	255,127,80	ARF_RAV
MA0945.2	ARR1	Tryptophan cluster factors	GARP_ARR-B	PBM	Q940D0	Arabidopsis thaliana	MA0945	plants	cluster_13	222,184,135	RVE_ARR_GATA
MA0946.1	ARR11	Tryptophan cluster factors	GARP_ARR-B	PBM	Q9FXD6	Arabidopsis thaliana	MA0946	plants	cluster_13	222,184,135	RVE_ARR_GATA
MA0947.1	ARR14	Tryptophan cluster factors	GARP_ARR-B	PBM	Q8L9Y3	Arabidopsis thaliana	MA0947	plants	cluster_13	222,184,135	RVE_ARR_GATA
MA0948.2	ARR18	Tryptophan cluster factors	GARP_ARR-B	PBM	Q9FGT7	Arabidopsis thaliana	MA0948	plants	cluster_13	222,184,135	RVE_ARR_GATA
MA0949.2	ARR2	Tryptophan cluster factors	GARP_ARR-B	PBM	Q9ZWJ9	Arabidopsis thaliana	MA0949	plants	cluster_13	222,184,135	RVE_ARR_GATA
MA0950.1	ATHB-12	Homeo domain factors	HD-ZIP	PBM	Q9M276	Arabidopsis thaliana	MA0950	plants	cluster_09	255,235,205	HDZIP_PLINC_AHL
MA0951.1	ATHB-16	Homeo domain factors	HD-ZIP	PBM	Q940J1	Arabidopsis thaliana	MA0951	plants	cluster_09	255,235,205	HDZIP_PLINC_AHL
MA0952.1	ATHB-51	Homeo domain factors	HD-ZIP	PBM	Q9LZR0	Arabidopsis thaliana	MA0952	plants	cluster_09	255,235,205	HDZIP_PLINC_AHL
MA0953.2	ATHB-6	Homeo domain factors	HD-ZIP	PBM	P46668	Arabidopsis thaliana	MA0953	plants	cluster_09	255,235,205	HDZIP_PLINC_AHL
MA0954.3	ATHB-7	Homeo domain factors	HD-ZIP	DAP-seq	P46897	Arabidopsis thaliana	MA0954	plants	cluster_09	255,235,205	HDZIP_PLINC_AHL
MA0955.2	POPTR_0002s00440g	C3H(C),C2HC zinc fingers factors	SBP	PBM		Populus trichocarpa	MA0955	plants	cluster_28	189,183,107	SPL_A
MA0956.2	BEE2	Basic helix-loop-helix factors (bHLH)	bHLH	PBM	Q93VJ4	Arabidopsis thaliana	MA0956	plants	cluster_07	255,228,196	BHLH_CAMTA
MA0957.1	BHLH3	Basic helix-loop-helix factors (bHLH)	bHLH	PBM	O23487	Arabidopsis thaliana	MA0957	plants	cluster_07	255,228,196	BHLH_CAMTA
MA0958.1	BHLH13	Basic helix-loop-helix factors (bHLH)	bHLH	PBM	Q9LNJ5	Arabidopsis thaliana	MA0958	plants	cluster_07	255,228,196	BHLH_CAMTA
MA0959.1	AIB	Basic helix-loop-helix factors (bHLH)	bHLH	PBM	Q9ZPY8	Arabidopsis thaliana	MA0959	plants	cluster_07	255,228,196	BHLH_CAMTA
MA0960.1	BHLH104	Basic helix-loop-helix factors (bHLH)	bHLH	PBM	Q8L467	Arabidopsis thaliana	MA0960	plants	cluster_07	255,228,196	BHLH_CAMTA
MA0961.2	bHLH112	Basic helix-loop-helix factors (bHLH)	bHLH	PBM	Q94JL3	Oryza sativa Japonica Group	MA0961	plants	cluster_07	255,228,196	BHLH_CAMTA
MA0962.2	bHLH34	Basic helix-loop-helix factors (bHLH)	bHLH	PBM	Q9LTC7	Arabidopsis thaliana	MA0962	plants	cluster_07	255,228,196	BHLH_CAMTA
MA0963.1	bHLH78	Basic helix-loop-helix factors (bHLH)	bHLH	PBM	Q9FJL4	Arabidopsis thaliana	MA0963	plants	cluster_07	255,228,196	BHLH_CAMTA
MA0964.3	BIM1	Basic helix-loop-helix factors (bHLH)	bHLH		Q9LEZ3	Arabidopsis thaliana	MA0964	plants	cluster_07	255,228,196	BHLH_CAMTA
MA0965.3	BIM2	Basic helix-loop-helix factors (bHLH)	bHLH		Q9CAA4	Arabidopsis thaliana	MA0965	plants	cluster_07	255,228,196	BHLH_CAMTA
MA0966.2	BIM3	Basic helix-loop-helix factors (bHLH)	bHLH	PBM	Q9FMB6	Arabidopsis thaliana	MA0966	plants	cluster_07	255,228,196	BHLH_CAMTA
MA0967.1	BZIP60	Basic leucine zipper factors (bZIP)	Group K	PBM	Q9C7S0	Arabidopsis thaliana	MA0967	plants	cluster_14	95,158,160	BZIP_TGA
MA0968.3	BZIP68	Basic leucine zipper factors (bZIP)	Group G	DAP-seq	Q84LG2	Arabidopsis thaliana	MA0968	plants	cluster_07	255,228,196	BHLH_CAMTA
MA0969.2	CAMTA2	GCM domain factors	CAMTA	PBM	Q6NPP4	Arabidopsis thaliana	MA0969	plants	cluster_07	255,228,196	BHLH_CAMTA
MA0970.2	CAMTA3	GCM domain factors	CAMTA	PBM	Q8GSA7	Arabidopsis thaliana	MA0970	plants	cluster_07	255,228,196	BHLH_CAMTA
MA0971.2	DREB1A	AP2/EREBP	ERF/DREB	PBM	Q9M0L0	Arabidopsis thaliana	MA0971	plants	cluster_15	127,255,0	ERF_DREB_A
MA0972.1	CCA1	Tryptophan cluster factors	Myb-related	PBM	P92973	Arabidopsis thaliana	MA0972	plants	cluster_13	222,184,135	RVE_ARR_GATA
MA0973.2	CDF2	Other C4 zinc finger-type factors	DOF	PBM	Q93ZL5	Arabidopsis thaliana	MA0973	plants	cluster_03	0,255,255	DOF_CDF
MA0974.3	CDF3	Other C4 zinc finger-type factors	DOF	DAP-seq	Q8LFV3	Arabidopsis thaliana	MA0974	plants	cluster_03	0,255,255	DOF_CDF
MA0975.1	CRF2	AP2/EREBP	ERF/DREB	PBM	Q9SUQ2	Arabidopsis thaliana	MA0975	plants	cluster_24	184,134,11	ERF_DREB_B
MA0976.3	CRF4	AP2/EREBP	ERF/DREB	DAP-seq	Q9SUE3	Arabidopsis thaliana	MA0976	plants	cluster_24	184,134,11	ERF_DREB_B
MA0977.1	DOF2.5	Other C4 zinc finger-type factors	DOF	PBM	Q9ZPY0	Arabidopsis thaliana	MA0977	plants	cluster_03	0,255,255	DOF_CDF
MA0978.1	DREB1E	AP2/EREBP	ERF/DREB	PBM	Q9SGJ6	Arabidopsis thaliana	MA0978	plants	cluster_15	127,255,0	ERF_DREB_A
MA0980.3	RAP2-10	AP2/EREBP	ERF/DREB	DAP-seq	Q9SW63	Arabidopsis thaliana	MA0980	plants	cluster_15	127,255,0	ERF_DREB_A
MA0981.2	DOF1.8	Other C4 zinc finger-type factors	DOF	PBM	Q84JQ8	Arabidopsis thaliana	MA0981	plants	cluster_03	0,255,255	DOF_CDF
MA0982.2	DOF2.4	Other C4 zinc finger-type factors	DOF	PBM	O80928	Arabidopsis thaliana	MA0982	plants	cluster_03	0,255,255	DOF_CDF
MA0983.2	DOF5.6	Other C4 zinc finger-type factors	DOF	PBM	Q9FM03	Arabidopsis thaliana	MA0983	plants	cluster_03	0,255,255	DOF_CDF
MA0984.2	DOF5.7	Other C4 zinc finger-type factors	DOF	PBM	Q9LSL6	Arabidopsis thaliana	MA0984	plants	cluster_03	0,255,255	DOF_CDF
MA0986.1	DREB2C	AP2/EREBP	ERF/DREB	PBM	Q8LFR2	Arabidopsis thaliana	MA0986	plants	cluster_15	127,255,0	ERF_DREB_A
MA0987.2	PHYPADRAFT_140773	Other C4 zinc finger-type factors	DOF	PBM		Physcomitrium patens	MA0987	plants	cluster_03	0,255,255	DOF_CDF
MA0988.2	PHYPADRAFT_143875	Basic helix-loop-helix factors (bHLH)		PBM	A9TDF9	Physcomitrium patens	MA0988	plants	cluster_07	255,228,196	BHLH_CAMTA
MA0989.2	PHYPADRAFT_153324	Other C4 zinc finger-type factors	DOF	PBM		Physcomitrium patens	MA0989	plants	cluster_03	0,255,255	DOF_CDF
MA0990.2	HDG11	Homeo domain factors	HD-ZIP	PBM	Q9FX31	Arabidopsis thaliana	MA0990	plants	cluster_09	255,235,205	HDZIP_PLINC_AHL
MA0992.3	ERF4	AP2/EREBP	ERF/DREB	DAP-seq	O80340	Arabidopsis thaliana	MA0992	plants	cluster_24	184,134,11	ERF_DREB_B
MA0993.2	ERF7	AP2/EREBP	ERF/DREB	PBM	Q9LDE4	Arabidopsis thaliana	MA0993	plants	cluster_30	85,107,47	ERF
MA0994.3	ERF8	AP2/EREBP	ERF/DREB		Q9MAI5	Arabidopsis thaliana	MA0994	plants	cluster_24	184,134,11	ERF_DREB_B
MA0995.3	ERF039	AP2/EREBP	ERF/DREB	DAP-seq	Q9SUK8	Arabidopsis thaliana	MA0995	plants	cluster_15	127,255,0	ERF_DREB_A
MA0997.2	ERF069	AP2/EREBP	ERF/DREB	PBM	Q8W4I5	Arabidopsis thaliana	MA0997	plants	cluster_30	85,107,47	ERF
MA0998.2	ERF096	AP2/EREBP	ERF/DREB	PBM	Q9LSX0	Arabidopsis thaliana	MA0998	plants	cluster_24	184,134,11	ERF_DREB_B
MA1000.3	ERF105	AP2/EREBP	ERF/DREB	DAP-seq	Q8VY90	Arabidopsis thaliana	MA1000	plants	cluster_24	184,134,11	ERF_DREB_B
MA1001.4	ERF076	AP2/EREBP	ERF/DREB		Q9C5I3	Arabidopsis thaliana	MA1001	plants	cluster_24	184,134,11	ERF_DREB_B
MA1004.2	ERF13	AP2/EREBP	ERF/DREB	PBM	Q8L9K1	Arabidopsis thaliana	MA1004	plants	cluster_24	184,134,11	ERF_DREB_B
MA1005.3	ERF082	AP2/EREBP	ERF/DREB	DAP-seq	O80339	Arabidopsis thaliana	MA1005	plants	cluster_24	184,134,11	ERF_DREB_B
MA1006.2	ERF6	AP2/EREBP	ERF/DREB	PBM	Q8VZ91	Arabidopsis thaliana	MA1006	plants	cluster_15	127,255,0	ERF_DREB_A
MA1007.1	PHYPADRAFT_173530	AP2/EREBP	ERF/DREB	PBM		Physcomitrium patens	MA1007	plants	cluster_15	127,255,0	ERF_DREB_A
MA1008.2	PHYPADRAFT_182268	AP2/EREBP	ERF/DREB	PBM	A9S898	Physcomitrium patens	MA1008	plants	cluster_15	127,255,0	ERF_DREB_A
MA1009.1	ARF3	B3	ARF	PBM	O23661	Arabidopsis thaliana	MA1009	plants	cluster_15	127,255,0	ERF_DREB_A
MA1010.2	PHYPADRAFT_64121	AP2/EREBP	ERF/DREB	PBM	A9RC32	Physcomitrium patens	MA1010	plants	cluster_15	127,255,0	ERF_DREB_A
MA1011.2	PHYPADRAFT_72483	Basic helix-loop-helix factors (bHLH)		PBM		Physcomitrium patens	MA1011	plants	cluster_07	255,228,196	BHLH_CAMTA
MA1012.1	AGL27	MADS box factors	MIKC	ChIP-seq	Q9AT76	Arabidopsis thaliana	MA1012	plants	cluster_23	0,139,139	MIKC
MA1013.1	GATA10	Other C4 zinc finger-type factors	C4-GATA-related	PBM	Q8VZP4	Arabidopsis thaliana	MA1013	plants	cluster_13	222,184,135	RVE_ARR_GATA
MA1014.1	GATA11	Other C4 zinc finger-type factors	C4-GATA-related	PBM	Q6DBP8	Arabidopsis thaliana	MA1014	plants	cluster_13	222,184,135	RVE_ARR_GATA
MA1015.2	GATA12	Other C4 zinc finger-type factors	C4-GATA-related	PBM	P69781	Arabidopsis thaliana	MA1015	plants	cluster_13	222,184,135	RVE_ARR_GATA
MA1016.2	GATA15	Other C4 zinc finger-type factors	C4-GATA-related	PBM	Q8LG10	Arabidopsis thaliana	MA1016	plants	cluster_13	222,184,135	RVE_ARR_GATA
MA1017.2	GATA8	Other C4 zinc finger-type factors	C4-GATA-related	PBM	Q9SV30	Arabidopsis thaliana	MA1017	plants	cluster_13	222,184,135	RVE_ARR_GATA
MA1018.2	GATA9	Other C4 zinc finger-type factors	C4-GATA-related	PBM	O82632	Arabidopsis thaliana	MA1018	plants	cluster_13	222,184,135	RVE_ARR_GATA
MA1019.2	Glyma19g26560.1	TCP		PBM	I1N7U7	Glycine max	MA1019	plants	cluster_01	240,248,255	ARF_TCP
MA1020.1	GT-1	Tryptophan cluster factors	Trihelix	PBM	Q9FX53	Arabidopsis thaliana	MA1020	plants	cluster_18	100,149,237	TRP_Trihelix
MA1021.2	PHYPADRAFT_48267	Basic helix-loop-helix factors (bHLH)		PBM		Physcomitrium patens	MA1021	plants	cluster_07	255,228,196	BHLH_CAMTA
MA1022.2	PHYPADRAFT_38837	Other C4 zinc finger-type factors	DOF	PBM		Physcomitrium patens	MA1022	plants	cluster_03	0,255,255	DOF_CDF
MA1023.1	PHYPADRAFT_28324	AP2/EREBP	ERF/DREB	PBM		Physcomitrium patens	MA1023	plants	cluster_15	127,255,0	ERF_DREB_A
MA1024.2	HAT1	Homeo domain factors	HD-ZIP	PBM	P46600	Arabidopsis thaliana	MA1024	plants	cluster_09	255,235,205	HDZIP_PLINC_AHL
MA1025.2	HBI1	Basic helix-loop-helix factors (bHLH)	bHLH	PBM	Q9ZPW3	Arabidopsis thaliana	MA1025	plants	cluster_07	255,228,196	BHLH_CAMTA
MA1026.3	ATHB-15	Homeo domain factors	HD-ZIP	DAP-seq	Q9ZU11	Arabidopsis thaliana	MA1026	plants	cluster_09	255,235,205	HDZIP_PLINC_AHL
MA1027.2	KAN1	Tryptophan cluster factors	GARP_G2-like	PBM	Q93WJ9	Arabidopsis thaliana	MA1027	plants	cluster_04	127,255,212	HSF_GARP
MA1028.1	KAN4	Tryptophan cluster factors	GARP_G2-like	PBM	Q9FJV5	Arabidopsis thaliana	MA1028	plants	cluster_04	127,255,212	HSF_GARP
MA1030.2	P0510F09.23	Tryptophan cluster factors	MYB	PBM	Q5N9C9	Oryza sativa Japonica Group	MA1030	plants	cluster_02	250,235,215	MYB_TRB
MA1031.2	OJ1581_H09.2	TCP		PBM	Q6H878	Oryza sativa Japonica Group	MA1031	plants	cluster_01	240,248,255	ARF_TCP
MA1032.2	DREB1G	AP2/EREBP	ERF/DREB	PBM	Q6EP77	Oryza sativa Japonica Group	MA1032	plants	cluster_15	127,255,0	ERF_DREB_A
MA1033.1	OJ1058_F05.8	Basic leucine zipper factors (bZIP)	Group A	PBM	Q75HX9	Oryza sativa Japonica Group	MA1033	plants	cluster_07	255,228,196	BHLH_CAMTA
MA1034.1	Os05g0497200	AP2/EREBP	ERF/DREB	PBM	Q75K84	Oryza sativa Japonica Group	MA1034	plants	cluster_24	184,134,11	ERF_DREB_B
MA1035.1	TCP4	TCP		PBM	Q8LPR5	Arabidopsis thaliana	MA1035	plants	cluster_01	240,248,255	ARF_TCP
MA1036.1	MYB111	Tryptophan cluster factors	Myb	PBM	Q9FJ07	Arabidopsis thaliana	MA1036	plants	cluster_02	250,235,215	MYB_TRB
MA1037.2	MYB24	Tryptophan cluster factors	MYB	PBM	Q9SPG9	Arabidopsis thaliana	MA1037	plants	cluster_02	250,235,215	MYB_TRB
MA1038.2	MYB3	Tryptophan cluster factors	MYB	PBM	Q9S9K9	Arabidopsis thaliana	MA1038	plants	cluster_02	250,235,215	MYB_TRB
MA1039.1	MYB4	Tryptophan cluster factors	Myb	PBM	Q9SZP1	Arabidopsis thaliana	MA1039	plants	cluster_02	250,235,215	MYB_TRB
MA1040.1	MYB46	Tryptophan cluster factors	Myb	PBM	Q9LXV2	Arabidopsis thaliana	MA1040	plants	cluster_02	250,235,215	MYB_TRB
MA1041.1	MYB55	Tryptophan cluster factors	Myb	PBM	Q9M118	Arabidopsis thaliana	MA1041	plants	cluster_02	250,235,215	MYB_TRB
MA1042.1	MYB59	Tryptophan cluster factors	Myb	PBM	Q4JL84	Arabidopsis thaliana	MA1042	plants	cluster_02	250,235,215	MYB_TRB
MA1043.2	NAC083	GCM domain factors	NAC	PBM	Q9FY93	Arabidopsis thaliana	MA1043	plants	cluster_20	220,20,60	NAC_B
MA1044.2	NAC92	GCM domain factors	NAC	PBM	Q9FKA0	Arabidopsis thaliana	MA1044	plants	cluster_20	220,20,60	NAC_B
MA1045.2	NAC043	GCM domain factors	NAC	PBM	Q84WP6	Arabidopsis thaliana	MA1045	plants	cluster_32	153,50,204	NAC043_NTL9
MA1046.1	NTL9	GCM domain factors	NAC	DAP-seq	F4JN35	Arabidopsis thaliana	MA1046	plants	cluster_32	153,50,204	NAC043_NTL9
MA1047.3	TGA5	Basic leucine zipper factors (bZIP)	Group D	DAP-seq	Q39163	Arabidopsis thaliana	MA1047	plants	cluster_14	95,158,160	BZIP_TGA
MA1048.1	ERF018	AP2/EREBP	ERF/DREB	PBM	Q9S7L5	Arabidopsis thaliana	MA1048	plants	cluster_15	127,255,0	ERF_DREB_A
